"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"70","拯救大兵瑞恩","导演: 史蒂文·斯皮尔伯格 Steven Spielberg","主演: 汤姆·汉克斯 Tom Hanks...","1998","美国","剧情 战争","9.0","563512","https://movie.douban.com/subject/1292849/"
"71","绿皮书","导演: 彼得·法雷里 Peter Farrelly","主演: 维果·莫腾森 Viggo Mortensen /...","2018","美国 中国大陆","剧情 喜剧 传记 音乐","8.9","1376344","https://movie.douban.com/subject/27060077/"
"72","看不见的客人","导演: 奥里奥尔·保罗 Oriol Paulo","主演: 马里奥·卡萨斯 Mario Casas / 阿...","2016","西班牙","剧情 犯罪 悬疑 惊悚","8.8","1073546","https://movie.douban.com/subject/26580232/"
"73","小鞋子","导演: 马基德·马基迪 Majid Majidi","主演: 默罕默德·阿米尔·纳吉 Mohamma...","1997","伊朗","剧情 儿童 家庭","9.2","354795","https://movie.douban.com/subject/1303021/"
"74","音乐之声","导演: 罗伯特·怀斯 Robert Wise","主演: 朱莉·安德鲁斯 Julie Andrews / 克...","1965","美国","剧情 传记 爱情 歌舞","9.1","522129","https://movie.douban.com/subject/1294408/"
"75","海豚湾","导演: 路易·西霍尤斯 Louie Psihoyos","主演: Richard O'Barry / 路易·西霍...","2009","美国","纪录片","9.3","325550","https://movie.douban.com/subject/3442220/"
"76","美国往事","导演: 赛尔乔·莱翁内 Sergio Leone","主演: 罗伯特·德尼罗 Robert De Niro ...","1984","美国 意大利","犯罪 剧情","9.2","359214","https://movie.douban.com/subject/1292262/"
"77","阿凡达","导演: 詹姆斯·卡梅隆 James Cameron","主演: 萨姆·沃辛顿 Sam Worthington ...","2009","美国","动作 科幻 冒险","8.8","1219186","https://movie.douban.com/subject/1652587/"
"78","致命魔术","导演: 克里斯托弗·诺兰 Christopher Nolan","主演: 休·杰克曼 Hugh Jackman...","2006","英国 美国","剧情 悬疑 惊悚","8.9","747985","https://movie.douban.com/subject/1780330/"
"79","沉默的羔羊","导演: 乔纳森·戴米 Jonathan Demme","主演: 朱迪·福斯特 Jodie Foster / 安...","1991","美国","剧情 犯罪 惊悚","8.9","755679","https://movie.douban.com/subject/1293544/"
"80","禁闭岛","导演: Martin Scorsese","主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...","2010","美国","剧情 悬疑 惊悚","8.8","832903","https://movie.douban.com/subject/2334904/"
"81","蝴蝶效应","导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber","主...","2004","美国 加拿大","剧情 悬疑 科幻 惊悚","8.8","812758","https://movie.douban.com/subject/1292343/"
"82","低俗小说","导演: 昆汀·塔伦蒂诺 Quentin Tarantino","主演: 约翰·特拉沃尔塔 John Tra...","1994","美国","剧情 喜剧 犯罪","8.9","723005","https://movie.douban.com/subject/1291832/"
"83","心灵捕手","导演: 格斯·范·桑特 Gus Van Sant","主演: 马特·达蒙 Matt Damon / 罗宾·...","1997","美国","剧情","8.9","615317","https://movie.douban.com/subject/1292656/"
"84","布达佩斯大饭店","导演: 韦斯·安德森 Wes Anderson","主演: 拉尔夫·费因斯 Ralph Fiennes / ...","2014","美国 德国 英国","剧情 喜剧 冒险","8.9","783307","https://movie.douban.com/subject/11525673/"
"85","春光乍泄","导演: 王家卫 Kar Wai Wong","主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...","1997","中国香港 日本 韩国","剧情 爱情 同性","9.0","545935","https://movie.douban.com/subject/1292679/"
"86","七宗罪","导演: 大卫·芬奇 David Fincher","主演: 摩根·弗里曼 Morgan Freeman / 布...","1995","美国","剧情 犯罪 悬疑 惊悚","8.8","836325","https://movie.douban.com/subject/1292223/"
"87","哈利·波特与死亡圣器(下)","导演: 大卫·叶茨 David Yates","主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...","2011","美国 英国","奇幻 冒险","8.9","699204","https://movie.douban.com/subject/3011235/"
"88","摩登时代","导演: 查理·卓别林 Charles Chaplin","主演: 查理·卓别林 Charles Chaplin ...","1936","美国","剧情 喜剧 爱情","9.3","255433","https://movie.douban.com/subject/1294371/"
"89","被嫌弃的松子的一生","导演: 中岛哲也 Tetsuya Nakashima","主演: 中谷美纪 Miki Nakatani / 瑛太 E...","2006","日本","剧情 歌舞","8.9","630485","https://movie.douban.com/subject/1787291/"
"90","喜剧之王","导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee","主演: 周星驰 Stephen Ch...","1999","中国香港","喜剧 剧情 爱情","8.8","837666","https://movie.douban.com/subject/1302425/"
"91","致命ID","导演: 詹姆斯·曼高德 James Mangold","主演: 约翰·库萨克 John Cusack / 雷...","2003","美国","剧情 悬疑 惊悚","8.8","701797","https://movie.douban.com/subject/1297192/"
"92","加勒比海盗","导演: 戈尔·维宾斯基 Gore Verbinski","主演: 约翰尼·德普 Johnny Depp / ...","2003","美国","动作 冒险 奇幻","8.8","753300","https://movie.douban.com/subject/1298070/"
"93","勇敢的心","导演: 梅尔·吉布森 Mel Gibson","主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...","1995","美国","动作 传记 剧情 历史 战争","8.9","510472","https://movie.douban.com/subject/1294639/"
"94","杀人回忆","导演: 奉俊昊 Joon-ho Bong","主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...","2003","韩国","剧情 动作 犯罪 悬疑 惊悚","8.9","597506","https://movie.douban.com/subject/1300299/"
"95","剪刀手爱德华","导演: 蒂姆·波顿 Tim Burton","主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...","1990","美国","剧情 奇幻 爱情","8.7","937552","https://movie.douban.com/subject/1292370/"
"96","狩猎","导演: 托马斯·温特伯格 Thomas Vinterberg","主演: 麦斯·米科尔森 Mads Mik...","2012","丹麦 瑞典","剧情","9.1","328754","https://movie.douban.com/subject/6985810/"
"97","红辣椒","导演: 今敏 Satoshi Kon","主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...","2006","日本","动画 悬疑 科幻 惊悚","9.0","378112","https://movie.douban.com/subject/1865703/"
"98","断背山","导演: 李安 Ang Lee","主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...","2005","美国 加拿大","剧情 爱情 同性 家庭","8.8","629340","https://movie.douban.com/subject/1418834/"
"99","天使爱美丽","导演: 让-皮埃尔·热内 Jean-Pierre Jeunet","主演: 奥黛丽·塔图 Audrey Tau...","2001","法国 德国","剧情 喜剧 爱情","8.7","880099","https://movie.douban.com/subject/1292215/"
"100","请以你的名字呼唤我","导演: 卢卡·瓜达尼诺 Luca Guadagnino","主演: 艾米·汉莫 Armie Hammer / ...","2017","意大利 法国 巴西 美国 荷兰 德国","剧情 爱情 同性","8.9","606856","https://movie.douban.com/subject/26799731/"
"101","超脱","导演: 托尼·凯耶 Tony Kaye","主演: 艾德里安·布洛迪 Adrien Brody / 马西...","2011","美国","剧情","8.9","458564","https://movie.douban.com/subject/5322596/"
